         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      143    0.006    0.000    0.111    0.001 _schema_validator.py:22(create_schema_validator)
        4    0.000    0.000    0.111    0.028 registry.py:68(resolve_tags)
 1264/727    0.001    0.000    0.110    0.000 _generate_schema.py:1238(_generate_md_field_schema)
 1292/727    0.006    0.000    0.109    0.000 _generate_schema.py:1278(_common_field_schema)
      278    0.000    0.000    0.108    0.000 session.py:2291(execute)
        3    0.000    0.000    0.108    0.036 connection.py:198(_new_conn)
        3    0.000    0.000    0.107    0.036 connection.py:27(create_connection)
      278    0.002    0.000    0.106    0.000 session.py:2136(_execute_internal)
      120    0.003    0.000    0.105    0.001 artist.py:1595(pprint_setters)
     2200    0.005    0.000    0.105    0.000 fromnumeric.py:2304(sum)
        4    0.000    0.000    0.105    0.026 git_context.py:28(in_context)
        8    0.000    0.000    0.105    0.013 git_context.py:22(_source_version)
        1    0.000    0.000    0.105    0.105 git_context.py:11(_get_source_version)
        1    0.000    0.000    0.105    0.105 git_utils.py:29(get_git_commit)
     8166    0.004    0.000    0.104    0.000 inspect.py:872(getdoc)
    47513    0.023    0.000    0.104    0.000 _abc.py:130(with_segments)
        1    0.000    0.000    0.104    0.104 _linprog_ip.py:1(<module>)
      143    0.000    0.000    0.103    0.001 _loader.py:22(get_plugins)
       34    0.000    0.000    0.103    0.003 requirements_utils.py:269(_get_installed_version)
       32    0.000    0.000    0.103    0.003 __init__.py:1097(version)
        7    0.000    0.000    0.103    0.015 generic.py:2152(__array__)
        6    0.000    0.000    0.103    0.017 __init__.py:343(__init__)
        7    0.000    0.000    0.103    0.015 frame.py:1115(_values)
        6    0.103    0.017    0.103    0.017 {built-in method _ctypes.dlopen}
        7    0.000    0.000    0.103    0.015 frame.py:12617(values)
        2    0.000    0.000    0.103    0.051 __init__.py:470(LoadLibrary)
        7    0.000    0.000    0.103    0.015 managers.py:1652(as_array)
        7    0.101    0.014    0.103    0.015 managers.py:1726(_interleave)
      336    0.001    0.000    0.102    0.000 dataclasses.py:1294(wrap)
        1    0.000    0.000    0.102    0.102 _linprog_util.py:1(<module>)
   224120    0.034    0.000    0.102    0.000 feedparser.py:129(__next__)
        2    0.000    0.000    0.102    0.051 memory.py:1(<module>)
      336    0.008    0.000    0.102    0.000 dataclasses.py:929(_process_class)
